State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
INDIANA,2005,9324,63431,231,3855,332,8960,27569,24698,16799,42,256,1512,2230,17,20023,13196,2019,248,2098,13796,6680394,26128,1809,1600,3761,1548,5830,201,229883,29,2624,11428,1845,
IOWA,2005,3895,30047,153,2144,771,5776,13781,9740,8651,113,99,960,1416,6,10727,10764,619,17,1009,10226,2640488,13643,215,374,472,322,171,0,116089,37,3065,4385,519,
KANSAS,2005,913,13030,61,614,0,1674,9092,4569,220,26,82,268,1102,0,2766,5114,264,10,146,5548,1296042,3705,8,68,874,164,230,0,48182,0,1100,1073,239,
KENTUCKY,2005,2817,48343,239,3724,137,7817,21992,35313,18919,349,299,4251,14890,38,12477,5388,927,269,4759,14461,4677931,17367,509,1108,243,2684,3023,0,210113,506,2753,4493,1878,
LOUISIANA,2005,5824,43277,135,4480,601,16478,8800,22323,2666,113,274,1048,1966,102,14221,6570,988,256,1358,22322,4450103,19824,447,972,715,852,1473,80,163410,368,3119,7326,1582,
MAINE,2005,436,15448,49,1034,98,1687,6404,4730,22,27,106,367,845,3,5207,3852,263,0,440,6243,1302517,6553,18,181,89,263,211,0,49931,1,1574,723,333,
MARYLAND,2005,7551,113524,573,6936,497,6769,23072,52472,1,343,415,1104,3098,387,22856,5889,4376,333,2332,32588,5524635,34741,1861,3528,777,1280,275,463,302456,202,4490,11827,4464,
MASSACHUSETTS,2005,5910,29623,102,2436,17,5605,11195,14496,6963,74,253,558,937,9,8774,3557,765,37,1596,13269,6927398,12077,672,909,295,369,888,150,112437,23,2194,7109,761,
MICHIGAN ,2005,11435,112576,355,6200,2031,9656,46732,33492,626,1406,785,1237,6413,100,26392,25610,4076,229,3392,31596,9807849,37023,1776,2403,1642,1293,2739,0,344114,382,4203,14852,5337,
MINNESOTA,2005,4078,33749,176,3256,2908,15075,30699,20001,0,9,699,2639,3364,47,19915,27086,2038,89,520,20123,5036926,25385,2133,1302,2746,1313,2313,0,204004,298,5163,6168,2265,
MISSISSIPPI,2005,1299,30090,84,2041,443,7636,9371,13953,6085,557,209,796,1336,345,6785,2605,389,140,2628,10853,2460530,9299,63,459,382,331,773,82,101737,110,1162,2107,730,
MISSOURI,2005,8623,67882,297,4254,947,11974,21003,29685,936,85,397,2635,3008,261,19251,7172,2995,294,3522,24885,5655659,26797,1271,1715,1778,2530,1733,0,229077,288,6507,11029,3149,
MONTANA ,2005,673,4450,42,251,465,2193,3128,1662,0,17,33,146,184,2,3644,2722,240,11,307,3386,776834,4177,2,56,398,74,24,0,25130,10,893,773,117,
NEBRASKA,2005,1242,24043,125,928,507,4208,14257,11181,3,76,155,788,1727,26,8391,9342,355,39,1639,9741,1590291,9799,148,321,346,585,1106,1,95377,58,2886,1757,1153,
NEVADA,2005,2621,57064,122,4772,2994,1774,9746,11267,147,441,197,558,2493,53,11439,7254,2046,205,1672,17424,2410942,18379,4633,1189,1442,1336,1852,161,149978,1491,1688,4212,1897,
NEW HAMPSHIRE,2005,334,14307,52,402,25,1450,5035,3209,4120,32,56,238,1180,4,2588,4876,140,6,193,5550,1081410,3182,74,123,370,209,385,0,46351,32,1214,519,147,
NEW JERSEY,2005,9301,136737,368,5784,6326,21601,24694,53846,16,80,485,1983,5387,283,23409,7265,1092,278,14872,28190,8389085,30653,2342,4180,5001,1886,5198,1,375719,1714,7113,14244,6287,
NEW MEXICO,2005,2738,37716,376,1039,47,2525,11240,6439,729,172,114,382,455,7,4830,3872,446,95,1134,5458,2429002,6691,300,372,546,113,702,46,83276,104,575,3319,704,
NEW YORK ,2005,10680,86855,465,7945,0,15291,29062,54613,0,203,748,4808,10180,198,38780,4974,2855,350,2763,29226,19800300,50045,1743,4248,0,4530,6238,0,335353,1374,12719,16026,4505,
NORTH CAROLINA,2005,16540,136509,393,15302,26,18175,28720,38775,0,1937,720,3422,30503,452,40798,14565,1844,666,8324,56641,8455705,58337,1370,4105,1262,1632,6379,0,446154,90,9073,22031,7931,
NORTH DAKOTA,2005,171,5775,12,195,334,1641,4116,1785,541,13,32,122,1034,4,1782,5816,192,4,210,1820,549686,2181,1,16,701,68,113,0,27248,2,558,223,190,
OHIO,2005,3696,65392,385,5977,2043,17976,20126,33643,4375,22,623,1699,3529,157,23230,12937,1913,227,9217,26420,11557771,31505,1282,2561,1020,1123,4598,75,251917,83,4598,7107,2990,
OKLAHOMA,2005,4374,32892,284,2867,2082,2961,15884,21468,21167,516,329,1079,2435,19,11244,2957,1102,167,998,9818,3345709,15497,456,681,3428,700,2405,0,145946,0,1327,5551,2306,
OREGON,2005,2979,21529,249,3171,2368,6878,14901,20532,0,78,291,1943,1704,9,20550,14734,2665,130,512,14889,3431463,26635,635,955,2347,1279,680,0,142649,2,4598,4355,2041,
PENNSYLVANIA,2005,15375,50116,681,9448,28307,54107,41464,51944,21315,397,1199,3573,12547,320,37848,24985,4647,510,935,42373,12564202,52624,2552,6720,2024,2881,3298,0,437305,1004,11896,23804,4839,
RHODE ISLAND ,2005,523,13528,74,630,8,2518,2313,2863,17,153,59,138,908,11,2199,638,199,9,134,3634,871688,3102,110,151,151,136,272,0,32875,1,1190,742,308,
SOUTH CAROLINA,2005,8502,46481,197,5054,46,14597,8645,29837,11170,504,533,2565,24630,130,18747,9588,1094,287,751,24279,4865027,25092,742,1558,512,809,2701,0,221852,980,4140,10880,2773,
SOUTH DAKOTA,2005,204,5731,9,173,43,643,2041,979,424,36,46,66,267,3,1045,2585,50,5,68,1252,781739,1277,3,10,128,73,102,1,16299,13,211,265,88,
TENNESSEE,2005,10627,70937,215,5436,1693,10802,22279,34286,17177,733,352,3402,10770,319,24132,7784,2522,338,1219,27889,5642765,32305,2025,2636,2450,657,1076,0,268770,33,3879,13953,3102,
TEXAS,2005,22812,304711,735,18246,13641,38811,90919,124214,117264,544,2183,9557,16388,377,93279,26855,7896,906,4904,102596,22040153,120156,5999,6481,14282,4616,737,31,1057731,2756,12303,32382,13688,
UTAH,2005,1177,39117,120,1351,1830,6014,6577,8215,5015,7,200,1055,1114,0,13856,10429,525,45,1872,9812,2096365,15852,344,329,748,892,915,4,116880,467,3599,1751,1251,
VERMONT,2005,251,2192,17,236,0,756,3626,1312,8,28,58,87,506,0,923,739,95,11,293,1312,639008,1271,1,6,1,62,133,0,13021,0,356,326,12,
VIRGINIA,2005,4211,93986,272,3715,2588,6154,22279,26954,24979,1365,303,2212,8971,72,19129,9255,1333,312,1376,32275,6825978,24449,737,1683,3933,957,906,0,277579,100,3917,6509,3605,
WASHINGTON,2005,5105,60014,446,5835,18,4775,36848,24809,3,133,801,2960,1541,6,29569,11291,2328,152,417,32592,5417774,38178,1567,1676,1819,1254,5117,6,241635,20,6996,7734,3537,
WEST VIRGINIA,2005,1382,13790,43,850,64,1094,6613,5703,4313,106,55,535,1498,2,4243,2029,359,54,125,7455,1545865,5495,163,206,72,181,406,0,52854,41,1055,1697,417,
WISCONSIN,2005,3121,77112,196,3195,3803,43642,31806,16207,10,147,467,1845,8748,20,21959,31708,1413,76,1745,11448,4769639,26763,121,576,3029,2525,1007,146,275752,81,7121,4240,2478,
WYOMING,2005,493,12826,20,334,387,1350,5067,3283,1773,7,35,145,179,19,2199,3922,121,14,307,3069,497656,2674,3,35,290,152,74,100,37252,29,817,577,202,
ALABAMA,2004,3926,78939,121,3498,59,4834,13582,18315,9474,20,457,2490,10432,54,15773,6529,1173,280,1143,28536,4000192,20565,173,1405,419,396,2200,2,208312,317,2550,6068,1215,
ALASKA,2004,1238,15471,15,543,1,938,5104,1786,56,5,82,139,199,23,3020,1467,395,31,433,3902,637349,3973,102,134,280,208,33,0,36864,16,882,1485,361,
ARIZONA,2004,7110,89018,263,5179,3249,17181,37813,35722,0,248,222,3123,2294,15,31272,23749,5180,252,3210,23308,5593717,41894,2115,1433,5480,1880,1463,0,315007,990,9907,9017,3331,
ARKANSAS,2004,2382,42782,39,1653,1114,2221,6908,7313,5561,4,112,1341,4126,16,7863,3464,390,33,255,5494,1469843,9945,330,449,449,209,768,142,98086,727,963,2976,978,
CALIFORNIA,2004,97105,308364,1619,48917,15708,16739,177405,272980,91064,1691,2099,11532,10129,478,89261,25558,29346,1894,474,79845,33560992,169143,14134,16762,4914,14493,20230,0,1414732,7063,26515,117860,28413,
COLORADO,2004,4770,82248,215,2833,2792,13134,21253,17434,170,109,434,1893,1786,21,23998,15081,2688,145,2876,18667,3941932,29734,864,794,3983,1272,1037,2,229977,962,6181,6143,2335,
CONNECTICUT,2004,3355,27819,341,2415,113,15688,8999,14904,2,139,239,774,1328,28,11764,1296,833,88,1224,18474,2917685,15353,455,1282,179,615,636,0,116805,37,2508,4964,1270,
DELAWARE,2004,1478,5172,54,909,60,2320,170,3243,411,183,101,499,1591,1,3709,2129,123,10,214,6337,752330,4795,118,305,0,54,321,0,31048,314,889,1894,333,
DISTRICT OF COLUMBIA,2004,51,3036,0,0,0,175,35,74,45,2,2,7,1,0,37,1682,48,0,0,128,,85,0,35,0,0,18,0,5779,354,16,88,33,
FLORIDA,2004,38888,461149,565,25970,,,55804,150334,,1115,2157,5222,14759,867,88265,35692,11798,693,0,95446,17390278,126598,6583,9100,,4015,3929,,1028856,,8728,50838,7777,
GEORGIA,2004,7183,54843,305,3402,341,17997,15115,27629,3733,124,286,3311,4430,308,19068,10449,1668,248,1677,15878,8146498,24443,1651,1676,971,3231,2995,74,205472,1629,1552,9393,3698,
HAWAII,2004,771,23640,36,530,525,814,4102,2529,11,78,73,354,323,136,3850,1039,783,40,108,4701,1103758,5199,255,292,3079,276,153,0,49456,14,738,1176,206,
IDAHO,2004,1078,29239,118,867,669,2229,9119,5393,172,89,106,348,585,7,5221,4986,318,24,392,6353,1264174,6524,4,89,2153,335,294,0,72204,18,1372,1297,626,
ILLINOIS,2004,5617,27539,138,2988,0,18626,5994,59054,0,0,561,222,1702,2828,16080,970,7409,433,336,29516,12882746,26615,6060,2914,0,2144,0,0,200447,0,4499,9525,4817,
INDIANA,2004,8901,60660,200,3477,457,9035,27264,22648,15003,26,219,1300,1844,92,18316,13083,1810,232,1650,11822,6576846,23803,1504,1496,3576,1479,5141,298,215441,23,2438,10848,1447,
IOWA,2004,3274,29409,151,1857,806,5248,13950,9355,7602,122,123,959,1316,11,9771,12040,570,40,702,8595,2512908,12349,170,298,485,266,210,0,110513,32,2704,3735,447,
KANSAS,2004,1624,18889,87,1260,0,3306,13478,8490,255,158,149,669,1779,7,6790,6218,495,35,239,10917,1938930,8632,143,247,2012,306,289,0,80262,0,1728,2055,692,
KENTUCKY,2004,1068,16348,37,1598,98,2683,5607,10894,7702,53,143,1497,3221,10,6893,1251,382,55,1083,4895,4020932,8910,334,525,58,221,1150,0,69483,191,912,1791,574,
LOUISIANA,2004,7645,82183,209,5438,1137,17451,11193,25884,3984,80,453,1507,2453,91,21845,5364,1185,303,2021,27726,4144321,28677,538,1202,2018,1245,2171,1101,232704,547,4075,9603,1655,
MAINE,2004,584,17505,46,1309,69,1806,7213,5526,38,26,104,343,1059,0,5649,3572,362,8,334,6889,1316272,7366,30,168,157,298,294,0,55345,0,1641,864,315,
MARYLAND,2004,7954,114278,726,7245,409,6890,23592,51938,252,353,466,1334,3277,354,25447,5870,4904,295,2436,34232,5554320,38322,2637,3424,798,1339,329,53,309630,138,4525,12139,4135,
MASSACHUSETTS,2004,5858,26226,105,2224,13,4488,9378,11617,5681,60,214,541,1028,12,8588,3111,750,54,1452,13283,6593211,11667,809,883,415,376,1096,144,101430,14,2237,7009,773,
MICHIGAN,2004,10790,111785,332,5310,782,8917,45568,31520,609,1282,872,1297,6214,100,24930,24640,1812,364,2827,30385,9403375,32384,1791,2180,1700,1397,5113,0,331479,266,3933,14206,4763,
MINNESOTA,2004,2065,21867,149,2338,165,8260,23193,11841,0,2,557,1614,3072,18,14384,21380,994,38,393,11520,5053105,17865,40,341,1591,953,1205,0,132255,32,3365,3001,878,
MISSISSIPPI,2004,1372,34166,81,2160,674,8013,11844,13579,6126,621,212,960,2136,317,8494,2995,441,156,2803,11856,2489537,11176,91,509,277,348,799,117,113350,97,1370,2249,736,
MISSOURI,2004,9758,77826,382,5119,1233,12106,29265,35103,1994,136,532,3030,3570,199,25066,7742,3815,321,4020,30083,5749093,34382,1060,1858,2498,2825,1989,0,273415,613,7993,12469,3279,
NEBRASKA,2004,1014,22479,111,988,386,4439,13927,10732,0,88,196,723,1753,22,8717,9579,386,36,1668,9385,1622520,10202,312,317,321,608,1047,1,93098,23,2745,1563,1095,
NEVADA,2004,3755,56611,105,4767,3375,2141,9133,9832,190,360,203,570,2710,51,12281,7334,2004,143,1166,15421,2253758,19157,5301,1192,1257,1553,1793,72,148909,2367,1633,5293,1589,
NEW HAMPSHIRE,2004,324,13096,24,364,16,1125,5582,3389,4005,18,72,169,1060,8,2082,5056,169,6,176,4752,991567,2639,40,112,388,159,333,0,43769,50,1107,514,87,
NEW JERSEY,2004,10005,136002,378,6087,5272,21674,24837,53713,4,117,483,2349,5684,152,25221,7570,1157,270,15123,29167,8442614,32843,2408,4095,5320,1838,6054,4,379625,1213,7384,14853,6044,
NEW MEXICO,2004,2798,40722,44,1222,18,2904,12849,7429,545,207,137,612,747,2,5764,4575,382,92,1117,6584,2443082,7412,412,369,556,144,898,80,92672,12,697,3396,754,
NEW YORK,2004,9742,81239,382,7522,0,14450,27121,50313,0,225,739,4742,10536,202,37127,5792,2658,263,2721,26225,19807090,47689,1795,3619,0,4402,6178,0,315889,972,12829,14363,4095,
NORTH CAROLINA,2004,12387,108319,272,13031,15,13173,49749,31802,0,1701,655,3435,31703,347,32921,12135,1523,536,8736,48597,8056872,47747,693,2844,511,1030,4641,0,393819,5,7457,16422,5601,
NORTH DAKOTA,2004,135,5993,18,174,308,1522,4038,1538,549,2,34,131,872,0,1774,5506,155,7,206,1435,511360,2121,16,16,665,91,106,0,26010,1,582,192,136,
OHIO,2004,3983,70225,403,6664,2246,18962,20103,33164,5775,35,669,2077,3387,175,26213,15219,2434,212,10934,29358,11816430,35714,1392,2650,1467,1339,4742,120,271838,53,4910,7514,2927,
OKLAHOMA,2004,4480,34338,219,2983,2390,3219,18914,21840,23260,547,343,1277,3616,320,13180,3974,1087,173,1135,10124,3406862,17469,555,631,3618,819,2226,0,158957,26,1382,5627,2281,
OREGON,2004,3005,22880,336,3611,2417,7642,16724,21390,0,44,294,2250,1676,4,23541,15481,3122,125,590,16860,3422768,30610,863,1386,2513,1216,496,0,155202,4,4526,4810,2206,
PENNSYLVANIA,2004,15149,50743,728,9688,25830,55677,41465,51743,20722,364,1267,3800,12663,290,38143,25838,5010,536,886,43144,12707735,53569,2952,6624,2316,3130,3475,0,441127,1081,13280,23576,4583,
RHODE ISLAND,2004,862,15582,89,838,15,3539,2367,4388,10,196,94,221,1198,10,3305,1027,257,19,139,5877,1080632,4489,215,282,174,110,509,5,43576,14,1644,1257,590,
SOUTH CAROLINA,2004,1304,3522,18,690,2,1395,2227,3634,1275,62,66,636,2236,29,2630,1868,145,39,58,3034,4686467,3483,34,185,22,145,361,0,26540,15,577,1594,331,
SOUTH DAKOTA,2004,235,6708,15,254,202,1002,3818,1542,468,30,57,128,1032,1,1416,4511,69,6,164,1804,720592,1754,1,20,268,117,88,0,24475,53,386,318,80,
TENNESSEE,2004,9807,72338,208,5047,1688,11879,23684,32402,19350,627,296,3435,11121,274,24360,7185,2409,290,1172,26760,5840670,32024,1582,2005,3062,623,1025,0,269127,35,3557,12398,2906,
TEXAS,2004,23148,313275,867,19361,15251,41787,96921,125343,130159,553,2177,9547,17434,451,102940,29903,8754,834,4680,107388,22272789,131922,6575,7294,15304,5004,842,15,1116524,4607,13091,33453,13019,
UTAH,2004,864,26591,88,1161,862,4946,5485,6702,4340,12,128,1000,911,1,12223,8687,533,45,1200,7775,1532299,14005,353,403,710,844,808,0,90811,395,2573,1440,1171,
VERMONT,2004,205,2316,20,229,0,713,3243,1332,0,29,75,83,338,0,739,617,81,7,335,1172,619908,1069,3,4,3,51,146,0,12074,0,317,291,16,
VIRGINIA,2004,4103,88379,282,3340,2280,6515,22786,24011,24387,1324,330,2367,8601,17,20659,8338,1302,280,1117,31714,6480254,25583,723,1552,4326,942,917,0,267765,82,3949,6265,3142,
WASHINGTON,2004,4851,47855,381,5474,55,4880,38195,21443,21,130,756,2801,1463,15,26187,12040,2044,123,305,28918,5735550,34086,574,1391,2102,1261,4228,14,216541,98,6159,7121,2777,
WEST VIRGINIA,2004,874,8397,29,508,41,342,3883,3259,2115,50,17,289,513,0,2784,1176,219,25,82,4285,1053143,3540,58,93,25,88,206,0,30257,12,582,1009,305,
WISCONSIN,2004,3112,84446,205,3482,4451,47999,33757,17349,502,219,607,2079,8405,45,25456,34558,1726,94,1634,13360,4949923,30869,142,683,3360,2865,1320,179,302927,136,8065,4496,2691,
WYOMING,2004,480,12482,61,350,438,1286,4699,3044,1455,12,29,157,181,2,2069,4130,113,14,259,3048,492693,2593,35,26,313,126,87,98,35849,19,696,549,140,
ALABAMA,2003,4232,79847,114,3059,52,4129,14340,16133,9845,17,386,2394,10974,110,15621,6909,1306,311,1506,28388,4079102,20100,135,1563,443,433,2380,1,208757,199,2596,6492,1334,
ALASKA,2003,1183,13764,40,587,2,912,4891,2045,26,2,103,137,147,0,3429,1602,406,22,343,4071,631457,4462,55,110,253,239,26,2,35754,9,966,1418,382,
ARIZONA,2003,6663,83328,230,5198,3489,16830,39046,32796,0,264,223,2825,2221,1,29615,24972,5262,210,3321,22999,5365487,40305,2160,1561,5371,1785,1614,0,305252,718,9427,8657,3123,
ARKANSAS,2003,2677,50744,80,2078,498,2563,9248,9301,8219,3,105,1511,11730,50,8316,1756,323,29,567,5212,1790768,10797,360,479,418,326,931,136,120392,661,907,3290,1164,
CALIFORNIA,2003,106425,308795,1766,50355,16720,17255,184679,273226,97808,1917,2434,12030,10566,564,94486,27092,30198,1835,594,86137,34990394,176805,13776,17353,5950,15544,18813,0,1457151,5908,27806,128047,27119,
COLORADO,2003,4021,63962,285,2483,2695,11958,19715,15054,231,107,411,1282,1450,3,19235,14304,2372,94,2329,17990,3238375,24375,1010,788,3965,1111,693,5,195911,875,5550,5314,1933,
CONNECTICUT,2003,2480,23433,103,1732,107,12522,5527,9744,23,156,164,528,1055,16,10017,1015,650,57,998,11673,2269425,12502,244,991,135,409,369,7,87176,32,2094,3692,895,
DELAWARE,2003,1861,6512,58,890,98,2076,223,4211,354,191,117,505,1934,2,3735,1791,177,15,233,7114,813337,4860,157,477,0,76,327,0,34912,471,935,2470,372,
DISTRICT OF COLUMBIA,2003,46,2700,0,0,4,213,29,108,56,0,1,1,0,0,37,1714,40,1,0,133,,77,0,20,0,1,17,0,5421,254,21,68,25,
FLORIDA,2003,40704,417657,567,26503,,,56976,136804,,1007,2251,5381,14123,699,90952,34223,12331,701,,94188,17012655,130353,7529,9096,,4137,3978,,974805,,8238,52752,6760,
GEORGIA,2003,8599,67899,341,5163,486,20936,24806,32940,4348,179,425,4507,11154,327,24347,8850,2269,417,4080,22076,8729207,32120,1628,2396,1931,3727,3889,607,265932,1589,2026,11837,3990,
HAWAII,2003,745,27952,16,784,613,649,4049,3286,12,43,127,378,413,183,4759,1171,1151,26,898,4711,1257608,6710,350,457,4293,382,183,0,58719,0,776,1355,312,
IDAHO,2003,1052,28442,117,1025,778,2281,9355,5258,201,68,110,401,734,0,6004,5048,426,24,518,6803,1285541,7572,3,106,2057,360,330,0,73523,9,1438,1292,575,
ILLINOIS,2003,5586,25195,140,3325,0,20126,5967,55793,0,0,603,258,1962,2662,17244,1018,8402,472,397,29059,12898374,29111,5522,2909,0,2118,0,0,197983,0,4401,9570,4824,
INDIANA,2003,8757,56614,180,3293,1349,8158,28501,20323,16055,19,209,1187,1871,177,17358,12502,1826,204,1924,11373,6568601,22657,1190,1440,3420,1317,4512,226,208042,175,2401,10610,1481,
IOWA,2003,3483,29399,127,2191,742,5073,12645,10244,7927,172,126,869,1658,9,12048,12908,685,31,606,10118,2662631,15051,246,353,481,269,220,0,116510,27,3274,3993,579,
KANSAS,2003,965,13893,71,844,0,1946,10723,5315,243,38,86,277,1306,0,3380,4910,263,21,165,6692,1306978,4558,19,75,990,176,301,0,54354,0,1427,1147,228,
KENTUCKY,2003,1574,14089,39,1235,132,2601,5379,8896,5607,70,86,1101,3226,13,6341,1129,355,35,1125,3680,4063935,7970,85,462,165,261,1031,0,60090,3,868,2157,502,
LOUISIANA,2003,7829,73827,169,5565,1585,15204,11152,23602,4190,28,444,1466,2793,131,21859,5019,1210,265,1945,27821,4281940,28803,546,1400,1886,1283,2367,100,219924,314,4383,9938,1541,
MAINE,2003,588,17913,76,1257,106,1570,7294,5048,79,34,94,333,1060,26,5628,3431,371,5,344,7261,1300474,7332,12,127,194,250,306,0,55320,0,1659,814,254,
MARYLAND,2003,7960,122187,649,7340,561,6469,23558,54531,4,400,431,1177,3455,402,24907,6234,5308,324,2669,38816,5508909,38204,2371,3500,778,1295,245,64,324414,170,4596,12215,4013,
MASSACHUSETTS,2003,5812,25626,105,2065,29,5286,8582,9397,6250,52,291,528,1045,13,8819,3192,680,34,1839,12712,6488437,11669,630,793,386,420,959,149,98390,11,2090,6930,595,
MICHIGAN,2003,12958,116823,438,6059,1234,9867,48382,33020,716,1282,1006,1240,6199,111,25734,27098,2094,468,4650,32345,9724692,34325,1336,2337,1817,1376,5619,33,353346,292,4228,16769,4584,
MINNESOTA,2003,2333,30201,224,2706,0,9603,24851,13040,0,2,567,1586,3812,22,18216,22930,1216,71,443,13053,5017436,22362,84,406,2083,946,1434,0,155088,62,4069,3377,1128,
MISSISSIPPI,2003,1175,29795,254,1912,483,7162,11120,10697,6025,546,186,1117,1680,423,7878,2596,478,131,3195,10239,2380220,10522,102,532,279,282,723,63,100844,87,999,2024,685,
MISSOURI,2003,11565,83522,468,6244,2185,14737,36826,42131,2166,121,596,3397,4449,323,32267,10451,4367,305,5701,35498,5527314,43346,1394,2157,3498,3226,2636,0,324705,642,9606,14623,4227,
MONTANA,2003,653,4797,25,247,301,1567,2239,664,0,6,26,64,145,1,2683,1801,212,10,328,1926,546626,3167,2,80,244,62,20,0,18855,12,681,769,59,
NEBRASKA,2003,816,18819,108,918,250,4013,12911,9614,0,119,140,752,1878,22,7382,12106,415,55,1376,8543,1489255,8823,490,275,247,583,1026,1,86544,1,2686,1286,998,
NEW HAMPSHIRE,2003,223,11134,19,269,15,1120,5063,2114,3608,9,41,151,651,8,1502,4603,102,5,154,3960,887385,1892,14,91,315,131,250,0,36477,57,794,360,74,
NEW JERSEY,2003,9587,124380,421,6208,5205,21169,23992,51630,9,112,519,1781,5590,280,24421,7953,1292,293,15093,28950,8018213,32342,2106,3945,4676,1844,6139,0,363297,2816,7263,14344,5623,
NEW MEXICO,2003,1822,26908,24,820,50,2358,8832,5084,1319,118,85,270,375,0,4399,3304,276,69,713,4612,2031982,5519,251,273,494,96,672,31,64435,4,579,2249,597,
NEW YORK,2003,8733,76892,404,7199,0,13730,26843,44095,0,216,709,4357,11272,123,32390,5970,2574,226,2882,26343,18561046,42567,1605,3150,0,4336,5987,0,297442,1536,12430,12818,3440,
NORTH CAROLINA,2003,13940,114143,351,13671,2,14850,54264,39583,0,1893,726,3806,32764,360,38247,13480,2231,591,7069,49865,8614261,54500,1243,4154,856,1631,6637,0,432569,1491,8153,19411,6568,
NORTH DAKOTA,2003,117,5271,18,238,339,1570,3806,1623,451,7,35,191,1027,0,1835,5678,201,3,200,1391,535956,2292,0,21,631,84,127,0,25585,3,629,176,89,
OHIO,2003,3034,69881,357,4658,2895,14624,20377,22877,5728,11,451,1749,2447,53,21737,12669,1235,114,12636,21951,11657483,27987,1331,1678,1626,1223,3957,96,236081,117,4097,5277,2472,
OKLAHOMA,2003,4845,37779,298,3227,3102,3021,20942,23013,24795,597,365,1121,3317,11,13307,3029,1277,159,1111,10215,3511532,18109,346,678,3181,786,2091,0,166495,0,1567,6047,2315,
OREGON,2003,1979,18222,325,2890,2083,6271,13508,13766,0,65,261,1754,1200,3,15898,13063,2171,95,505,10758,3252321,21284,116,783,2294,1224,440,0,115141,0,4031,3118,1436,
PENNSYLVANIA,2003,13948,47212,672,9587,26065,53634,39384,47438,19812,281,1244,3404,11994,231,34704,25939,5776,504,972,43206,12443061,50739,2685,6207,2642,3069,3247,0,421100,446,12660,21903,4137,
RHODE ISLAND,2003,913,15734,76,769,41,3305,2023,4621,69,163,134,203,1210,23,3397,1038,276,14,217,6018,1076164,4518,275,307,210,129,472,45,43914,8,1660,1368,564,
SOUTH CAROLINA,2003,234,3324,6,159,4,1524,3929,981,1159,24,18,158,1900,13,458,2195,34,8,86,741,4535689,657,13,34,19,43,137,0,17583,25,183,294,174,
SOUTH DAKOTA,2003,415,8479,23,430,283,1640,5357,2788,440,38,59,138,1056,3,2482,6951,103,8,340,2653,758233,3038,0,28,558,183,141,0,35298,12,533,510,157,
TENNESSEE,2003,9700,67974,238,4793,1651,10095,24688,29368,18317,461,294,2806,10125,247,22601,6705,2412,302,1150,26117,5892622,30044,1739,1617,2805,659,799,0,253709,33,3312,11913,2701,
TEXAS,2003,21062,279937,790,17862,10564,35628,87023,106273,119851,647,2189,8267,16120,411,89257,25194,8192,811,4696,92840,20875272,116101,4794,6371,15339,4425,827,0,982963,507,11742,30433,11344,
UTAH,2003,1121,28908,148,1350,1316,5564,5944,7582,4797,17,158,968,904,0,12362,10214,617,48,1196,8109,1690633,14477,241,313,816,726,802,0,98509,13,2978,1640,1297,
VERMONT,2003,196,2324,23,209,1,619,2619,1235,1,24,48,106,330,0,628,703,61,7,297,1079,678344,921,4,1,0,28,117,0,10951,0,282,252,9,
VIRGINIA,2003,3263,69115,264,3018,1765,4488,18819,20137,17524,1096,305,2008,7184,28,16355,6044,1181,190,766,26915,6526389,20818,392,1108,3425,790,737,0,213059,75,3315,4866,2752,
WASHINGTON,2003,4623,51701,377,5079,17,4619,36802,22544,14,124,795,2269,1335,3,24934,12701,1892,96,339,28578,5540101,32282,571,1259,2273,1198,3913,18,216720,107,6025,6773,2514,
WEST VIRGINIA,2003,680,4704,26,387,12,209,3670,2060,654,38,20,211,455,1,1512,1065,170,20,62,2955,813665,2095,10,58,38,87,128,0,19879,0,469,778,178,
WISCONSIN,2003,3358,79458,232,3764,4785,47538,29060,18676,195,227,491,1786,8402,32,24676,36039,1818,85,1906,12013,5165478,30490,120,686,3758,2782,1294,148,294493,270,8350,4620,2544,
WYOMING,2003,470,11686,32,314,358,1128,4169,2579,1388,4,28,115,192,3,2042,4223,115,11,249,2564,475963,2503,2,34,191,112,109,80,32907,11,581,543,117,
ALABAMA,2002,12002,,,42578,,,,,,,1664,,,,123932,,13890,303,,,4486508,180400,,5962,,,,,200331,,,19931,,
ALASKA,2002,2594,,,3908,,,,,,,511,,,,17739,,2471,33,,,643786,24118,,489,,,,,27745,,,3627,,
ARIZONA,2002,20176,,,59087,,,,,,,1608,,,,201541,,57668,387,,,5456453,318296,,8000,,,,,348467,,,30171,,
ARKANSAS,2002,8081,,,23229,,,,,,,754,,,,71129,,6813,142,,,2710079,101171,,2524,,,,,112672,,,11501,,
