State,Year,Aggravated assault,All other offenses (except traffic),Arson,Burglary,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",
CONNECTICUT,2009,5023,33772,99,2938,52,16146,10178,17757,1,224,247,819,1603,73,15351,1507,654,118,1530,23501,3518288,19042,346,1473,3,614,423,0,138703,45,2719,6861,1487,
DELAWARE,2009,1977,5791,59,1215,188,2048,230,5752,674,237,105,599,1914,15,6044,2302,130,31,229,8597,884338,7448,67,716,0,173,422,0,42366,1258,1183,2829,410,
DISTRICT OF COLUMBIA,2009,44,5328,0,0,3,286,49,121,81,0,0,2,2,2,121,1713,22,0,0,278,,143,0,96,0,0,12,0,8416,167,50,140,39,
FLORIDA,2009,36474,478848,390,29681,,,53004,146056,,957,1642,4220,15129,356,108081,37715,6859,779,,91706,18514171,145011,5296,10964,,3300,3227,,1049817,,8225,49859,6908,
GEORGIA,2009,9126,84454,244,8189,663,27605,26982,39395,3385,362,339,4702,7095,351,35352,11456,2180,430,3195,30273,9766841,45965,1702,3119,2108,3700,3406,703,320569,1818,3760,13014,4475,
HAWAII,2009,852,23382,33,528,196,782,5588,2055,0,62,120,198,513,19,4277,1471,488,16,32,4914,1150076,5326,315,406,4161,298,111,0,51974,105,815,1394,237,
IDAHO,2009,1313,25185,80,1027,534,2668,12226,5751,351,88,117,183,484,0,6018,6448,193,16,785,5882,1519531,7318,5,122,1437,333,174,0,73268,7,1292,1568,549,
ILLINOIS,2009,4592,21964,71,3028,489,14961,4250,43536,0,2,464,319,323,3046,15249,1288,3832,380,344,22945,13006374,22180,3473,2875,7,832,54,0,157242,105,4641,8311,4172,
INDIANA,2009,5494,54613,184,4217,755,7822,22618,23203,16936,6,210,1425,1671,36,23753,12250,1443,202,1510,21160,6679770,29597,1185,1804,2764,1427,6608,102,217684,54,2319,7710,1913,
IOWA,2009,3403,26646,95,1937,545,6114,13516,8376,10917,102,90,562,1002,6,12151,8663,442,27,954,10170,2756917,14625,141,418,393,210,220,0,110553,22,2945,3938,486,
KANSAS,2009,1848,18966,66,902,0,3662,13223,6316,308,148,150,401,1195,0,5842,5957,316,46,211,10738,1813396,7126,239,282,1261,261,215,0,75034,0,1818,2326,663,
KENTUCKY,2009,2143,34029,116,2714,16,4828,19733,18553,17260,107,196,1243,1759,28,12364,374,347,142,3021,8803,4295577,15541,379,1055,75,331,1437,0,133542,482,951,3536,1056,
LOUISIANA,2009,8484,40141,144,3675,421,7581,8488,19334,2578,235,224,574,2029,59,17812,2274,728,182,1404,15489,4410236,22359,288,1004,349,648,1314,12,139698,265,2355,9894,1607,
MAINE,2009,416,16634,80,1362,90,1886,6861,5897,40,37,83,276,878,3,6481,5528,250,19,104,6878,1316989,8173,27,194,103,245,194,0,56567,9,1581,712,411,
MARYLAND,2009,7519,98707,489,6595,226,7082,23180,51629,0,349,442,1239,1989,314,26228,7446,2467,318,2223,29465,5674380,35779,1322,4185,443,1374,164,417,283407,135,3870,12464,3590,
MASSACHUSETTS,2009,10475,35618,97,3758,10,8134,12369,12127,7144,139,323,696,1547,21,15546,5077,696,76,1853,22234,6130470,20097,836,2129,249,711,1457,21,148266,16,3393,13003,1514,
MICHIGAN,2009,9905,86060,292,6461,910,9813,38941,34910,332,1010,633,893,5912,154,29569,18679,2495,221,2921,30626,9569737,38817,732,2571,1037,954,1729,0,296005,291,3684,13330,4270,
