Aggravated assault,All other offenses (except traffic),Area,Arson,Burglary,Crime Index Total,Curfew and loitering law violations,Disorderly conduct,Driving under the influence,Drug abuse violations,Drunkenness,Embezzlement,Forcible rape,Forgery and counterfeiting,Fraud,Gambling,Larceny-theft,Liquor laws,Motor vehicle theft,Murder and nonnegligent manslaughter,Offenses against the family and children,Other assaults,Population,Property crime,Prostitution and commercialized vice,Robbery,Runaways,Sex offenses (except forcible rape and prostitution),State,"Stolen property; buying, receiving, possessing",Suspicion,Total all classes ,Vagrancy,Vandalism,Violent crime,"Weapons; carrying, possessing, etc.",Year
"136,143",,State Total,,"232,000","1,346,557",,,,,,,"9,961",,,,"697,669",,"204,033","2,206",,,"34,501,130","1,133,702",,"64,545",,,CALIFORNIA,,,"1,346,557",,,"212,855",,2001
"9,849",,State Total,,"28,533","186,379",,,,,,,"1,930",,,,"121,360",,"20,994",158,,,"4,417,714","170,887",,"3,555",,,COLORADO,,,"186,379",,,"15,492",,2001
"6,565",,State Total,,"17,159","106,791",,,,,,,639,,,,"65,762",,"12,378",105,,,"3,425,074","95,299",,"4,183",,,CONNECTICUT,,,"106,791",,,"11,492",,2001
"3,269",,State Total,,"5,144","32,267",,,,,,,420,,,,"19,476",,"2,779",23,,,"796,165","27,399",,"1,156",,,DELAWARE,,,"32,267",,,"4,868",,2001
"5,568",,State Total,,"5,011","44,085",,,,,,,188,,,,"21,473",,"7,670",232,,,"571,822","34,154",,"3,943",,,DISTRICT OF COLUMBIA ,,,"44,085",,,"9,931",,2001
"90,331",,State Total,,"176,052","913,230",,,,,,,"6,641",,,,"516,548",,"89,917",874,,,"16,396,515","782,517",,"32,867",,,FLORIDA,,,"913,230",,,"130,713",,2001
"24,491",,State Total,,"71,799","389,543",,,,,,,"2,180",,,,"238,484",,"37,589",598,,,"8,383,915","347,872",,"14,402",,,GEORGIA,,,"389,543",,,"41,671",,2001
"1,534",,State Total,,"11,162","65,947",,,,,,,409,,,,"44,925",,"6,743",32,,,"1,224,398","62,830",,"1,142",,,HAWAII,,,"65,947",,,"3,117",,2001
"2,511",,State Total,,"7,507","41,392",,,,,,,425,,,,"28,285",,"2,389",30,,,"1,321,006","38,181",,245,,,IDAHO,,,"41,392",,,"3,211",,2001
"49,713",,State Total,,"78,844","511,494",,,,,,,"3,938",,,,"304,362",,"48,784",986,,,"12,482,301","431,990",,"24,867",,,ILLINOIS ,,,"511,494",,,"79,504",,2001
"13,434",,State Total,,"42,758","234,282",,,,,,,"1,716",,,,"147,291",,"21,499",413,,,"6,114,745","211,548",,"7,171",,,INDIANA,,,"234,282",,,"22,734",,2001
"6,012",,State Total,,"16,885","96,499",,,,,,,649,,,,"66,244",,"5,505",50,,,"2,923,179","88,634",,"1,154",,,IOWA,,,"96,499",,,"7,865",,2001
"7,449",,State Total,,"20,514","116,446",,,,,,,945,,,,"77,038",,"7,985",92,,,"2,694,641","105,537",,"2,423",,,KANSAS,,,"116,446",,,"10,909",,2001
"5,845",,State Total,,"26,505","119,449",,,,,,,"1,132",,,,"73,152",,"9,344",191,,,"4,065,556","109,001",,"3,280",,,KENTUCKY ,,,"119,449",,,"10,448",,2001
"20,910",,State Total,,"46,451","238,371",,,,,,,"1,403",,,,"139,555",,"21,687",501,,,"4,465,430","207,693",,"7,864",,,LOUISIANA,,,"238,371",,,"30,678",,2001
826,,State Total,,"6,898","34,588",,,,,,,326,,,,"24,585",,"1,671",18,,,"1,286,670","33,154",,264,,,MAINE,,,"34,588",,,"1,434",,2001
"26,668",,State Total,,"41,553","261,600",,,,,,,"1,449",,,,"145,934",,"32,025",446,,,"5,375,156","219,512",,"13,525",,,MARYLAND,,,"261,600",,,"42,088",,2001
"22,110",,State Total,,"32,430","197,666",,,,,,,"1,856",,,,"106,821",,"27,828",145,,,"6,379,304","167,079",,"6,476",,,MASSACHUSETTS,,,"197,666",,,"30,587",,2001
"36,551",,State Total,,"72,038","407,777",,,,,,,"5,264",,,,"226,708",,"53,607",672,,,"9,990,817","352,353",,"12,937",,,MICHIGAN,,,"407,777",,,"55,424",,2001
"7,032",,State Total,,"25,496","178,191",,,,,,,"2,236",,,,"124,519",,"15,031",119,,,"4,972,294","165,046",,"3,758",,,MINNESOTA,,,"178,191",,,"13,145",,2001
"5,283",,State Total,,"29,821","119,615",,,,,,,"1,147",,,,"70,315",,"9,473",282,,,"2,858,029","109,609",,"3,294",,,MISSISSIPPI,,,"119,615",,,"10,006",,2001
"20,946",,State Total,,"42,977","268,883",,,,,,,"1,383",,,,"167,420",,"28,014",372,,,"5,629,707","238,411",,"7,771",,,MISSOURI,,,"268,883",,,"30,472",,2001
"2,735",,State Total,,"3,670","33,362",,,,,,,188,,,,"24,684",,"1,821",34,,,"904,433","30,175",,230,,,MONTANA,,,"33,362",,,"3,187",,2001
"3,612",,State Total,,"9,760","74,177",,,,,,,431,,,,"52,713",,"6,490",43,,,"1,713,235","68,963",,"1,128",,,NEBRASKA,,,"74,177",,,"5,214",,2001
"6,364",,State Total,,"17,711","89,845",,,,,,,883,,,,"45,073",,"14,702",180,,,"2,106,074","77,486",,"4,932",,,NEVADA,,,"89,845",,,"12,359",,2001
"1,224",,State Total,,"4,889","29,233",,,,,,,458,,,,"20,060",,"2,140",17,,,"1,259,181","27,089",,445,,,NEW HAMPSHIRE,,,"29,233",,,"2,144",,2001
"17,370",,State Total,,"46,812","273,645",,,,,,,"1,278",,,,"156,031",,"37,708",336,,,"8,484,431","240,551",,"14,110",,,NEW JERSEY,,,"273,645",,,"33,094",,2001
"10,644",,State Total,,"19,552","97,383",,,,,,,850,,,,"56,406",,"7,137",99,,,"1,829,146","83,095",,"2,695",,,NEW MEXICO,,,"97,383",,,"14,288",,2001
"57,042",,State Total,,"80,400","556,106",,,,,,,"3,546",,,,"329,316",,"48,287",960,,,"19,011,378","458,003",,"36,555",,,NEW YORK,,,"556,106",,,"98,103",,2001
"24,573",,State Total,,"101,889","404,242",,,,,,,"2,083",,,,"237,241",,"24,647",505,,,"8,186,268","363,777",,"13,304",,,NORTH CAROLINA,,,"404,242",,,"40,465",,2001
274,,State Total,,"2,165","15,339",,,,,,,164,,,,"11,583",,"1,086",7,,,"634,448","14,834",,60,,,NORTH DAKOTA,,,"15,339",,,505,,2001
"17,906",,State Total,,"96,910","475,138",,,,,,,"4,466",,,,"295,976",,"42,229",452,,,"11,373,541","435,115",,"17,199",,,OHIO,,,"475,138",,,"40,023",,2001
"13,309",,State Total,,"34,573","159,405",,,,,,,"1,486",,,,"94,537",,"12,569",185,,,"3,460,097","141,679",,"2,746",,,OKLAHOMA,,,"159,405",,,"17,726",,2001
"6,643",,State Total,,"26,648","175,174",,,,,,,"1,174",,,,"123,034",,"14,842",84,,,"3,472,867","164,524",,"2,749",,,OREGON,,,"175,174",,,"10,650",,2001
"28,814",,State Total,,"54,345","363,840",,,,,,,"3,467",,,,"223,350",,"35,713",651,,,"12,287,150","313,408",,"17,500",,,PENNSYLVANIA,,,"363,840",,,"50,432",,2001
"2,473",,State Total,,"19,931","70,117",,,,,,,187,,,,"26,140",,"12,643",744,,,"3,839,810","58,714",,"7,999",,,PUERTO RICO,,,"70,117",,,"11,403",,2001
"1,837",,State Total,,"6,824","39,020",,,,,,,416,,,,"23,875",,"5,043",39,,,"1,058,920","35,742",,986,,,RHODE ISLAND,,,"39,020",,,"3,278",,2001
"22,320",,State Total,,"36,831","193,103",,,,,,,"1,380",,,,"112,247",,"14,760",255,,,"4,063,011","163,838",,"5,310",,,SOUTH CAROLINA,,,"193,103",,,"29,265",,2001
710,,State Total,,"3,087","17,644",,,,,,,351,,,,"12,571",,815,7,,,"756,600","16,473",,103,,,SOUTH DAKOTA,,,"17,644",,,"1,171",,2001
"29,938",,State Total,,"59,705","295,770",,,,,,,"2,196",,,,"165,015",,"28,272",425,,,"5,740,021","252,992",,"10,219",,,TENNESSEE,,,"295,770",,,"42,778",,2001
"77,306",,State Total,,"204,362","1,098,809",,,,,,,"8,169",,,,"669,625",,"102,667","1,332",,,"21,325,018","976,654",,"35,348",,,TEXAS,,,"1,098,809",,,"122,155",,2001
