State,latitude,longitude,Year,Funding
MICHIGAN,43.3504,-84.5603,2004,3454672680
MINNESOTA,45.7326,-93.9196,2004,1939365014
MISSISSIPPI,32.7673,-89.6812,2004,1103081748
MISSOURI,38.4623,-92.302,2004,2258962812
MONTANA,46.9048,-110.3261,2004,376050552
NEBRASKA,41.1289,-98.2883,2004,703859098
NEVADA,38.4199,-117.1219,2004,400225384
NEW HAMPSHIRE,43.4108,-71.5653,2004,423650638
NEW JERSEY,40.314,-74.5089,2004,2148413429
NEW MEXICO,34.8375,-106.2371,2004,735023519
NEW YORK,42.1497,-74.9384,2004,8106090202
NORTH CAROLINA,35.6411,-79.8431,2004,2315149754
NORTH DAKOTA,47.5362,-99.793,2004,323609847
OHIO,40.3736,-82.7755,2004,3919276071
OKLAHOMA,35.5376,-96.9247,2004,1334923300
OREGON,44.5672,-122.1269,2004,1318760448
PENNSYLVANIA,40.5773,-77.264,2004,4740816851
RHODE ISLAND,41.6772,-71.5101,2004,530793180
SOUTH CAROLINA,33.8191,-80.9066,2004,1313444504
SOUTH DAKOTA,44.2853,-99.4632,2004,375611344
TENNESSEE,35.7449,-86.7489,2004,1895812898
TEXAS,31.106,-97.6475,2004,7207764023
UTAH,40.1135,-111.8535,2004,762450195
VERMONT,44.0407,-72.7093,2004,318894589
VIRGINIA,37.768,-78.2057,2004,2122509463
WASHINGTON,47.3917,-121.5708,2004,1780464671
WEST VIRGINIA,38.468,-80.9696,2004,714586624
WISCONSIN,44.2563,-89.6385,2004,1613726426
WYOMING,42.7475,-107.2085,2004,258093648
TOTAL,,,2005,1.06249E+11
ALABAMA,32.799,-86.8073,2005,1677873818
ALASKA,61.385,-152.2683,2005,304062005
ARIZONA,33.7712,-111.3877,2005,4678691268
ARKANSAS,34.9513,-92.3809,2005,930347440
CALIFORNIA,36.17,-119.7462,2005,11080946384
COLORADO,39.0646,-105.3272,2005,1823869012
CONNECTICUT,41.5834,-72.7622,2005,997567838
DELAWARE,39.3498,-75.5148,2005,293525157
DISTRICT OF COLUMBIA,38.9072,-77.037,2005,716632246
FLORIDA,27.8333,-81.717,2005,5701576524
GEORGIA,32.9866,-83.6487,2005,3279800371
HAWAII,21.1098,-157.5311,2005,356335228
IDAHO,44.2394,-114.5103,2005,468785354
ILLINOIS,40.3363,-89.0022,2005,4728937533
INDIANA,39.8647,-86.2604,2005,2243657479
IOWA,42.0046,-93.214,2005,1431675661
KANSAS,38.5111,-96.8005,2005,996327475
KENTUCKY,37.669,-84.6514,2005,1499444374
LOUISIANA,31.1801,-91.8749,2005,1673063069
MAINE,44.6074,-69.3977,2005,418711062
MARYLAND,39.0724,-76.7902,2005,1564968595
MASSACHUSETTS,42.2373,-71.5314,2005,2670561086
MICHIGAN,43.3504,-84.5603,2005,3612333060
MINNESOTA,45.7326,-93.9196,2005,2133466102
MISSISSIPPI,32.7673,-89.6812,2005,1154835325
MISSOURI,38.4623,-92.302,2005,2356116918
MONTANA,46.9048,-110.3261,2005,375974288
NEBRASKA,41.1289,-98.2883,2005,703224866
NEVADA,38.4199,-117.1219,2005,447480692
NEW HAMPSHIRE,43.4108,-71.5653,2005,432014135
NEW JERSEY,40.314,-74.5089,2005,2223697671
NEW MEXICO,34.8375,-106.2371,2005,747461489
NEW YORK,42.1497,-74.9384,2005,8153308555
NORTH CAROLINA,35.6411,-79.8431,2005,2468879245
NORTH DAKOTA,47.5362,-99.793,2005,340069374
OHIO,40.3736,-82.7755,2005,4034554557
OKLAHOMA,35.5376,-96.9247,2005,1383106457
OREGON,44.5672,-122.1269,2005,1307882154
PENNSYLVANIA,40.5773,-77.264,2005,5045260714
RHODE ISLAND,41.6772,-71.5101,2005,579074776
SOUTH CAROLINA,33.8191,-80.9066,2005,1325000535
