State,Total all classes ,Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,Sex offenses (except forcible rape and prostitution),Drug abuse violations,Gambling,Offenses against the family and children,Driving under the influence,Liquor laws,Drunkenness3,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Total Population,Year
GEORGIA,"205,472 ","9,393 ","24,443 ",248 ,286 ,"1,676 ","7,183 ","3,402 ","19,068 ","1,668 ",305 ,"15,878 ","3,311 ","4,430 ",124 ,"2,995 ","1,552 ","3,698 ","1,651 ","3,231 ","27,629 ",308 ,"1,677 ","15,115 ","10,449 ","3,733 ","17,997 ","1,629 ","54,843 ",74 ,341 ,971 ,"3,146,498",2004
HAWAII,"49,456 ","1,176 ","5,199 ",40 ,73 ,292 ,771 ,530 ,"3,850 ",783 ,36 ,"4,701 ",354 ,323 ,78 ,153 ,738 ,206 ,255 ,276 ,"2,529 ",136 ,108 ,"4,102 ","1,039 ",11 ,814 ,14 ,"23,640 ",0 ,525 ,"3,079 ","1,103,758",2004
IDAHO,"72,204 ","1,297 ","6,524 ",24 ,106 ,89 ,"1,078 ",867 ,"5,221 ",318 ,118 ,"6,353 ",348 ,585 ,89 ,294 ,"1,372 ",626 ,4 ,335 ,"5,393 ",7 ,392 ,"9,119 ","4,986 ",172 ,"2,229 ",18 ,"29,239 ",0 ,669 ,"2,153 ","1,264,174",2004
ILLINOIS,"200,447 ","9,525 ","26,615 ",433 ,561 ,"2,914 ","5,617 ","2,988 ","16,080 ","7,409 ",138 ,"29,516 ",222 ,"1,702 ",0 ,0 ,"4,499 ","4,817 ","6,060 ","2,144 ","59,054 ","2,828 ",336 ,"5,994 ",970 ,0 ,"18,626 ",0 ,"27,539 ",0 ,0 ,0 ,"2,882,746",2004
INDIANA,"215,441 ","10,848 ","23,803 ",232 ,219 ,"1,496 ","8,901 ","3,477 ","18,316 ","1,810 ",200 ,"11,822 ","1,300 ","1,844 ",26 ,"5,141 ","2,438 ","1,447 ","1,504 ","1,479 ","22,648 ",92 ,"1,650 ","27,264 ","13,083 ","15,003 ","9,035 ",23 ,"60,660 ",298 ,457 ,"3,576 ","4,576,846",2004
IOWA,"110,513 ","3,735 ","12,349 ",40 ,123 ,298 ,"3,274 ","1,857 ","9,771 ",570 ,151 ,"8,595 ",959 ,"1,316 ",122 ,210 ,"2,704 ",447 ,170 ,266 ,"9,355 ",11 ,702 ,"13,950 ","12,040 ","7,602 ","5,248 ",32 ,"29,409 ",0 ,806 ,485 ,"2,512,908",2004
KANSAS,"80,262 ","2,055 ","8,632 ",35 ,149 ,247 ,"1,624 ","1,260 ","6,790 ",495 ,87 ,"10,917 ",669 ,"1,779 ",158 ,289 ,"1,728 ",692 ,143 ,306 ,"8,490 ",7 ,239 ,"13,478 ","6,218 ",255 ,"3,306 ",0 ,"18,889 ",0 ,0 ,"2,012 ","1,938,930",2004
KENTUCKY,"69,483 ","1,791 ","8,910 ",55 ,143 ,525 ,"1,068 ","1,598 ","6,893 ",382 ,37 ,"4,895 ","1,497 ","3,221 ",53 ,"1,150 ",912 ,574 ,334 ,221 ,"10,894 ",10 ,"1,083 ","5,607 ","1,251 ","7,702 ","2,683 ",191 ,"16,348 ",0 ,98 ,58 ,"1,020,932",2004
LOUISIANA,"232,704 ","9,603 ","28,677 ",303 ,453 ,"1,202 ","7,645 ","5,438 ","21,845 ","1,185 ",209 ,"27,726 ","1,507 ","2,453 ",80 ,"2,171 ","4,075 ","1,655 ",538 ,"1,245 ","25,884 ",91 ,"2,021 ","11,193 ","5,364 ","3,984 ","17,451 ",547 ,"82,183 ","1,101 ","1,137 ","2,018 ","3,144,321",2004
MAINE,"55,345 ",864 ,"7,366 ",8 ,104 ,168 ,584 ,"1,309 ","5,649 ",362 ,46 ,"6,889 ",343 ,"1,059 ",26 ,294 ,"1,641 ",315 ,30 ,298 ,"5,526 ",0 ,334 ,"7,213 ","3,572 ",38 ,"1,806 ",0 ,"17,505 ",0 ,69 ,157 ,"1,316,272",2004
MARYLAND,"309,630 ","12,139 ","38,322 ",295 ,466 ,"3,424 ","7,954 ","7,245 ","25,447 ","4,904 ",726 ,"34,232 ","1,334 ","3,277 ",353 ,329 ,"4,525 ","4,135 ","2,637 ","1,339 ","51,938 ",354 ,"2,436 ","23,592 ","5,870 ",252 ,"6,890 ",138 ,"114,278 ",53 ,409 ,798 ,"5,554,320",2004
MASSACHUSETTS,"101,430 ","7,009 ","11,667 ",54 ,214 ,883 ,"5,858 ","2,224 ","8,588 ",750 ,105 ,"13,283 ",541 ,"1,028 ",60 ,"1,096 ","2,237 ",773 ,809 ,376 ,"11,617 ",12 ,"1,452 ","9,378 ","3,111 ","5,681 ","4,488 ",14 ,"26,226 ",144 ,13 ,415 ,"4,593,211",2004
MICHIGAN,"331,479 ","14,206 ","32,384 ",364 ,872 ,"2,180 ","10,790 ","5,310 ","24,930 ","1,812 ",332 ,"30,385 ","1,297 ","6,214 ","1,282 ","5,113 ","3,933 ","4,763 ","1,791 ","1,397 ","31,520 ",100 ,"2,827 ","45,568 ","24,640 ",609 ,"8,917 ",266 ,"111,785 ",0 ,782 ,"1,700 ","9,403,375",2004
MINNESOTA,"132,255 ","3,001 ","17,865 ",38 ,557 ,341 ,"2,065 ","2,338 ","14,384 ",994 ,149 ,"11,520 ","1,614 ","3,072 ",2 ,"1,205 ","3,365 ",878 ,40 ,953 ,"11,841 ",18 ,393 ,"23,193 ","21,380 ",0 ,"8,260 ",32 ,"21,867 ",0 ,165 ,"1,591 ","3,553,105",2004
MISSISSIPPI,"113,350 ","2,249 ","11,176 ",156 ,212 ,509 ,"1,372 ","2,160 ","8,494 ",441 ,81 ,"11,856 ",960 ,"2,136 ",621 ,799 ,"1,370 ",736 ,91 ,348 ,"13,579 ",317 ,"2,803 ","11,844 ","2,995 ","6,126 ","8,013 ",97 ,"34,166 ",117 ,674 ,277 ,"1,489,537",2004
MISSOURI,"273,415 ","12,469 ","34,382 ",321 ,532 ,"1,858 ","9,758 ","5,119 ","25,066 ","3,815 ",382 ,"30,083 ","3,030 ","3,570 ",136 ,"1,989 ","7,993 ","3,279 ","1,060 ","2,825 ","35,103 ",199 ,"4,020 ","29,265 ","7,742 ","1,994 ","12,106 ",613 ,"77,826 ",0 ,"1,233 ","2,498 ","4,749,093",2004
NEBRASKA,"93,098 ","1,563 ","10,202 ",36 ,196 ,317 ,"1,014 ",988 ,"8,717 ",386 ,111 ,"9,385 ",723 ,"1,753 ",88 ,"1,047 ","2,745 ","1,095 ",312 ,608 ,"10,732 ",22 ,"1,668 ","13,927 ","9,579 ",0 ,"4,439 ",23 ,"22,479 ",1 ,386 ,321 ,"1,622,520",2004
