State,,"Total 
all 
classes ",Violent crime ,Property crime ,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson,Other assaults,Forgery and counterfeiting,Fraud,Embezzlement,"Stolen property; buying, receiving, possessing",Vandalism,"Weapons; carrying, possessing, etc.",Prostitution and commercialized vice,"Sex offenses (except forcible 
rape and prostitution)","Drug 
abuse violations",Gambling,"Offenses against 
the family and children",Driving under the influence,Liquor laws,Drunkenness ,Disorderly conduct,Vagrancy,All other offenses (except traffic),Suspicion,Curfew and loitering law violations,Runaways,Number of agencies,"2008 
estimated 
population",Year
NEW MEXICO,Total all ages,"78,500 ","3,464 ","9,003 ",71 ,129 ,417 ,"2,847 ","1,215 ","7,336 ",350 ,102 ,"6,563 ",246 ,506 ,167 ,732 ,770 ,619 ,219 ,151 ,"6,113 ",3 ,931 ,"9,741 ","3,389 ",746 ,"2,700 ",2 ,"32,066 ",32 ,64 ,273 ,,"1,445,951",2008
NEW YORK ,Total all ages,"300,683 ","13,320 ","48,915 ",273 ,543 ,"3,393 ","9,111 ","7,893 ","38,595 ","1,992 ",435 ,"28,925 ","3,488 ","7,259 ",203 ,"4,835 ","12,069 ","3,379 ",824 ,"3,887 ","52,945 ",86 ,"2,472 ","25,169 ","4,631 ",0 ,"13,505 ",968 ,"73,803 ",0 ,0 ,0 ,,"9,223,778",2008
NORTH CAROLINA,Total all ages,"413,895 ","18,852 ","60,398 ",578 ,520 ,"4,364 ","13,390 ","14,459 ","44,112 ","1,511 ",316 ,"49,545 ","2,396 ","19,035 ","1,723 ","5,263 ","7,886 ","7,434 ","1,408 ","1,362 ","36,571 ",138 ,"6,534 ","49,599 ","10,778 ",0 ,"14,976 ",195 ,"118,692 ",0 ,0 ,"1,110 ",,"6,612,884",2008
NORTH DAKOTA,Total all ages,"27,896 ",408 ,"2,975 ",3 ,45 ,25 ,335 ,281 ,"2,497 ",175 ,22 ,"1,897 ",75 ,655 ,35 ,139 ,584 ,166 ,3 ,95 ,"1,769 ",0 ,164 ,"4,003 ","5,582 ",630 ,"1,864 ",3 ,"5,950 ",0 ,275 ,624 ,,"580,591",2008
OHIO,Total all ages,"249,113 ","6,808 ","35,461 ",186 ,487 ,"2,615 ","3,520 ","6,211 ","27,928 ","1,081 ",241 ,"30,596 ","1,323 ","3,180 ",44 ,"3,622 ","4,496 ","2,999 ","1,266 ",964 ,"30,580 ",76 ,"6,705 ","19,088 ","12,815 ","4,459 ","20,493 ",65 ,"61,678 ",53 ,"1,472 ",870 ,,"6,866,208",2008
OKLAHOMA,Total all ages,"161,466 ","5,956 ","17,029 ",160 ,316 ,831 ,"4,649 ","3,114 ","13,046 ",591 ,278 ,"10,180 ",831 ,"2,510 ",659 ,"2,261 ","1,562 ","2,131 ",412 ,720 ,"20,548 ",7 ,977 ,"18,980 ","3,013 ","25,426 ","3,401 ",0 ,"39,921 ",0 ,"2,227 ","2,715 ",,"3,638,086",2008
OREGON,Total all ages,"147,653 ","4,844 ","27,202 ",95 ,276 ,"1,187 ","3,286 ","2,816 ","22,590 ","1,452 ",344 ,"15,447 ",986 ,"1,684 ",54 ,374 ,"5,418 ","1,777 ",752 ,"1,334 ","16,723 ",3 ,611 ,"17,015 ","19,287 ",0 ,"8,214 ",10 ,"21,877 ",0 ,"2,006 ","2,035 ",,"3,649,695",2008
PENNSYLVANIA,Total all ages,"483,711 ","25,776 ","60,856 ",576 ,"1,167 ","7,412 ","16,621 ","10,310 ","46,384 ","3,479 ",683 ,"47,334 ","2,977 ","8,634 ",490 ,"3,077 ","12,947 ","4,576 ","2,498 ","2,779 ","56,228 ",268 ,"1,155 ","53,319 ","26,626 ","25,838 ","62,987 ","1,101 ","57,100 ",0 ,"25,066 ","2,079 ",,"12,020,349",2008
RHODE ISLAND,Total all ages,"35,157 ",876 ,"3,756 ",12 ,58 ,259 ,547 ,777 ,"2,794 ",138 ,47 ,"4,104 ",140 ,758 ,133 ,340 ,"1,264 ",391 ,216 ,122 ,"3,791 ",4 ,159 ,"2,778 ",936 ,12 ,"3,120 ",2 ,"12,166 ",0 ,9 ,80 ,,"1,050,788",2008
SOUTH CAROLINA,Total all ages,"177,424 ","7,270 ","18,177 ",198 ,289 ,"1,383 ","5,400 ","3,552 ","13,725 ",772 ,128 ,"13,990 ","1,534 ","13,705 ",352 ,"1,658 ","2,466 ","1,682 ",388 ,442 ,"18,224 ",53 ,"1,438 ","14,742 ","12,648 ","12,850 ","15,768 ","1,520 ","37,843 ",0 ,60 ,614 ,,"4,399,248",2008
