State,Total (thousands of dollars),Total justice system Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Police protection Direct expenditure Total,Direct current,Capital outlay,Intergovernmental Expenditure,Total,Judicial and Legal Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Corrections Direct expenditure Total,Direct current,Total,Construction only,Intergovernmental expenditures,State
Mississippi,"$388,937.00 ","$372,371.00 ","$354,884.00 ","$17,487.00 ","$16,566.00 ","$68,782.00 ","$67,018.00 ","$59,719.00 ","$7,299.00 ","$1,764.00 ","$63,405.00 ","$63,405.00 ","$62,139.00 ","$1,266.00 ",$0.00 ,"$256,750.00 ","$241,948.00 ","$233,026.00 ","$8,922.00 ","$6,038.00 ","$14,802.00 ",Mississippi
Missouri,"$899,732.00 ","$817,052.00 ","$712,734.00 ","$104,318.00 ","$82,680.00 ","$158,817.00 ","$124,571.00 ","$110,107.00 ","$14,464.00 ","$34,246.00 ","$211,464.00 ","$178,646.00 ","$172,538.00 ","$6,108.00 ","$32,818.00 ","$529,451.00 ","$513,835.00 ","$430,089.00 ","$83,746.00 ","$74,213.00 ","$15,616.00 ",Missouri
Montana,"$172,680.00 ","$152,793.00 ","$141,907.00 ","$10,886.00 ","$19,887.00 ","$37,726.00 ","$24,718.00 ","$24,710.00 ",$8.00 ,"$13,008.00 ","$30,731.00 ","$23,932.00 ","$23,535.00 ",$397.00 ,"$6,799.00 ","$104,223.00 ","$104,143.00 ","$93,662.00 ","$10,481.00 ","$9,286.00 ",$80.00 ,Montana
Nebraska,"$273,969.00 ","$261,369.00 ","$207,545.00 ","$53,824.00 ","$12,600.00 ","$61,331.00 ","$48,731.00 ","$42,759.00 ","$5,972.00 ","$12,600.00 ","$40,010.00 ","$40,010.00 ","$39,571.00 ",$439.00 ,$0.00 ,"$172,628.00 ","$172,628.00 ","$125,215.00 ","$47,413.00 ","$45,020.00 ",$0.00 ,Nebraska
Nevada,"$322,382.00 ","$318,405.00 ","$273,762.00 ","$44,643.00 ","$3,977.00 ","$57,918.00 ","$57,902.00 ","$50,236.00 ","$7,666.00 ",$16.00 ,"$43,769.00 ","$42,937.00 ","$42,179.00 ",$758.00 ,$832.00 ,"$220,695.00 ","$217,566.00 ","$181,347.00 ","$36,219.00 ","$34,570.00 ","$3,129.00 ",Nevada
New Hampshire,"$207,766.00 ","$199,551.00 ","$173,673.00 ","$25,878.00 ","$8,215.00 ","$39,204.00 ","$38,402.00 ","$31,002.00 ","$7,400.00 ",$802.00 ,"$83,040.00 ","$76,205.00 ","$74,869.00 ","$1,336.00 ","$6,835.00 ","$85,522.00 ","$84,944.00 ","$67,802.00 ","$17,142.00 ","$14,797.00 ",$578.00 ,New Hampshire
New Jersey,"$2,118,616.00 ","$1,993,660.00 ","$1,952,109.00 ","$41,551.00 ","$124,956.00 ","$405,584.00 ","$401,894.00 ","$394,547.00 ","$7,347.00 ","$3,690.00 ","$551,989.00 ","$541,489.00 ","$527,926.00 ","$13,563.00 ","$10,500.00 ","$1,161,043.00 ","$1,050,277.00 ","$1,029,636.00 ","$20,641.00 ","$11,920.00 ","$110,766.00 ",New Jersey
New Mexico,"$442,509.00 ","$442,509.00 ","$431,210.00 ","$11,299.00 ",$0.00 ,"$77,574.00 ","$77,574.00 ","$74,188.00 ","$3,386.00 ",$0.00 ,"$148,213.00 ","$148,213.00 ","$143,303.00 ","$4,910.00 ",$0.00 ,"$216,722.00 ","$216,722.00 ","$213,719.00 ","$3,003.00 ","$1,426.00 ",$0.00 ,New Mexico
New York,"$4,363,125.00 ","$4,126,686.00 ","$3,671,598.00 ","$455,088.00 ","$236,439.00 ","$474,771.00 ","$421,887.00 ","$387,783.00 ","$34,104.00 ","$52,884.00 ","$1,448,018.00 ","$1,406,602.00 ","$1,332,264.00 ","$74,338.00 ","$41,416.00 ","$2,440,336.00 ","$2,298,197.00 ","$1,951,551.00 ","$346,646.00 ","$324,013.00 ","$142,139.00 ",New York
North Carolina,"$1,707,309.00 ","$1,663,902.00 ","$1,583,573.00 ","$80,329.00 ","$43,407.00 ","$363,882.00 ","$350,889.00 ","$311,814.00 ","$39,075.00 ","$12,993.00 ","$436,049.00 ","$407,349.00 ","$399,015.00 ","$8,334.00 ","$28,700.00 ","$907,378.00 ","$905,664.00 ","$872,744.00 ","$32,920.00 ","$22,144.00 ","$1,714.00 ",North Carolina
North Dakota,"$72,726.00 ","$68,863.00 ","$66,609.00 ","$2,254.00 ","$3,863.00 ","$12,179.00 ","$12,125.00 ","$11,739.00 ",$386.00 ,$54.00 ,"$29,443.00 ","$27,882.00 ","$27,258.00 ",$624.00 ,"$1,561.00 ","$31,104.00 ","$28,856.00 ","$27,612.00 ","$1,244.00 ",$928.00 ,"$2,248.00 ",North Dakota
Ohio,"$2,134,752.00 ","$1,912,370.00 ","$1,675,672.00 ","$236,698.00 ","$222,382.00 ","$246,839.00 ","$224,802.00 ","$192,637.00 ","$32,165.00 ","$22,037.00 ","$259,967.00 ","$200,893.00 ","$194,406.00 ","$6,487.00 ","$59,074.00 ","$1,627,946.00 ","$1,486,675.00 ","$1,288,629.00 ","$198,046.00 ","$171,222.00 ","$141,271.00 ",Ohio
