State,Total (Thousands of dollars),Total justice system Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Police protection Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Judicial and Legal Direct expenditure Total,Direct current,Capital outlay,Intergovernmental expenditure,Total,Corrections Direct expenditure Total,Direct current,Total,Construction only,Intergovernmental expenditure,State
New Jersey,"$2,331,274 ","$2,272,208 ","$2,234,811 ","$37,397 ","$59,066 ","$390,817 ","$389,508 ","$384,783 ","$4,725 ","$1,309 ","$645,684 ","$633,684 ","$621,228 ","$12,456 ","$12,000 ","$1,294,773 ","$1,249,016 ","$1,228,800 ","$20,216 ","$18,741 ",45757,New Jersey
New Mexico,"$550,994 ","$534,017 ","$523,092 ","$10,925 ","$16,977 ","$109,352 ","$92,530 ","$86,339 ","$6,191 ","$16,822 ","$176,797 ","$176,772 ","$173,611 ","$3,161 ",$25 ,"$264,845 ","$264,715 ","$263,142 ","$1,573 ",$98 ,130,New Mexico
New York,"$5,119,031 ","$4,897,803 ","$4,425,867 ","$471,936 ","$221,228 ","$587,382 ","$531,176 ","$487,699 ","$43,477 ","$56,206 ","$1,995,653 ","$1,953,950 ","$1,747,321 ","$206,629 ","$41,703 ","$2,535,996 ","$2,412,677 ","$2,190,847 ","$221,830 ","$189,416 ",123319,New York
North Carolina,"$1,740,172 ","$1,692,013 ","$1,641,932 ","$50,081 ","$48,159 ","$359,016 ","$333,621 ","$309,802 ","$23,819 ","$25,395 ","$438,445 ","$423,370 ","$420,280 ","$3,090 ","$15,075 ","$942,711 ","$935,022 ","$911,850 ","$23,172 ","$17,324 ",7689,North Carolina
North Dakota,"$97,689 ","$94,596 ","$91,352 ","$3,244 ","$3,093 ","$12,645 ","$12,450 ","$11,692 ",$758 ,$195 ,"$40,518 ","$39,079 ","$37,701 ","$1,378 ","$1,439 ","$44,526 ","$43,067 ","$41,959 ","$1,108 ",$435 ,1459,North Dakota
Ohio,"$2,279,090 ","$2,065,866 ","$1,910,496 ","$155,370 ","$213,224 ","$278,653 ","$258,400 ","$222,761 ","$35,639 ","$20,253 ","$314,258 ","$266,391 ","$227,396 ","$38,995 ","$47,867 ","$1,686,179 ","$1,541,075 ","$1,460,339 ","$80,736 ","$74,335 ",145104,Ohio
Oklahoma,"$766,469 ","$727,936 ","$703,632 ","$24,304 ","$38,533 ","$92,508 ","$92,428 ","$79,698 ","$12,730 ",$80 ,"$187,648 ","$165,678 ","$160,143 ","$5,535 ","$21,970 ","$486,313 ","$469,830 ","$463,791 ","$6,039 ","$2,716 ",16483,Oklahoma
Oregon,"$905,606 ","$772,161 ","$726,760 ","$45,401 ","$133,445 ","$180,957 ","$146,798 ","$141,510 ","$5,288 ","$34,159 ","$191,559 ","$191,559 ","$191,378 ",$181 , $-   ,"$533,090 ","$433,804 ","$393,872 ","$39,932 ","$38,797 ",99286,Oregon
Pennsylvania,"$2,952,157 ","$2,767,679 ","$2,727,494 ","$40,185 ","$184,478 ","$1,026,678 ","$1,022,562 ","$989,264 ","$33,298 ","$4,116 ","$565,948 ","$438,626 ","$437,872 ",$754 ,"$127,322 ","$1,359,531 ","$1,306,491 ","$1,300,358 ","$6,133 ","$6,127 ",53040,Pennsylvania
Rhode Island,"$304,930 ","$304,567 ","$298,784 ","$5,783 ",$363 ,"$50,475 ","$50,112 ","$48,895 ","$1,217 ",$363 ,"$95,360 ","$95,360 ","$93,015 ","$2,345 ", $-   ,"$159,095 ","$159,095 ","$156,874 ","$2,221 ","$1,433 ",0,Rhode Island
South Carolina,"$740,178 ","$711,689 ","$670,801 ","$40,888 ","$28,489 ","$243,452 ","$228,818 ","$198,812 ","$30,006 ","$14,634 ","$70,426 ","$58,121 ","$57,833 ",$288 ,"$12,305 ","$426,300 ","$424,750 ","$414,156 ","$10,594 ","$9,682 ",1550,South Carolina
South Dakota,"$132,376 ","$122,751 ","$111,874 ","$10,877 ","$9,625 ","$26,076 ","$25,832 ","$16,550 ","$9,282 ",$244 ,"$26,442 ","$25,850 ","$25,170 ",$680 ,$592 ,"$79,858 ","$71,069 ","$70,154 ",$915 ,$390 ,8789,South Dakota
Tennessee,"$914,068 ","$738,387 ","$727,627 ","$10,760 ","$175,681 ","$144,177 ","$137,273 ","$134,317 ","$2,956 ","$6,904 ","$211,222 ","$188,949 ","$188,879 ",$70 ,"$22,273 ","$558,669 ","$412,165 ","$404,431 ","$7,734 ","$5,910 ",146504,Tennessee
Texas,"$4,232,878 ","$4,053,888 ","$3,921,517 ","$132,371 ","$178,990 ","$430,531 ","$412,672 ","$374,133 ","$38,539 ","$17,859 ","$601,279 ","$561,757 ","$552,832 ","$8,925 ","$39,522 ","$3,201,068 ","$3,079,459 ","$2,994,552 ","$84,907 ","$31,440 ",121609,Texas
Utah,"$489,339 ","$488,357 ","$484,568 ","$3,789 ",$982 ,"$82,771 ","$82,771 ","$80,963 ","$1,808 ", $-   ,"$145,285 ","$144,303 ","$143,399 ",$904 ,$982 ,"$261,283 ","$261,283 ","$260,206 ","$1,077 ",$65 ,0,Utah
Vermont,"$185,909 ","$183,026 ","$179,726 ","$3,300 ","$2,883 ","$59,903 ","$57,415 ","$55,070 ","$2,345 ","$2,488 ","$44,239 ","$44,239 ","$43,765 ",$474 , $-   ,"$81,767 ","$81,372 ","$80,891 ",$481 ,$6 ,395,Vermont
Virginia,"$2,151,666 ","$1,452,047 ","$1,394,543 ","$57,504 ","$699,619 ","$552,064 ","$237,984 ","$220,488 ","$17,496 ","$314,080 ","$405,361 ","$280,748 ","$275,887 ","$4,861 ","$124,613 ","$1,194,241 ","$933,315 ","$898,168 ","$35,147 ","$8,113 ",260926,Virginia
Washington,"$1,121,650 ","$1,050,127 ","$985,835 ","$64,292 ","$71,523 ","$245,281 ","$176,810 ","$167,192 ","$9,618 ","$68,471 ","$89,588 ","$87,041 ","$84,959 ","$2,082 ","$2,547 ","$786,781 ","$786,276 ","$733,684 ","$52,592 ","$41,550 ",505,Washington
West Virginia,"$339,981 ","$339,981 ","$331,626 ","$8,355 ", $-   ,"$53,903 ","$53,903 ","$50,314 ","$3,589 ", $-   ,"$104,014 ","$104,014 ","$101,251 ","$2,763 ", $-   ,"$182,064 ","$182,064 ","$180,061 ","$2,003 ",$468 ,0,West Virginia
Wisconsin,"$1,288,541 ","$1,156,554 ","$1,108,556 ","$47,998 ","$131,987 ","$109,852 ","$103,385 ","$100,738 ","$2,647 ","$6,467 ","$271,964 ","$241,252 ","$238,985 ","$2,267 ","$30,712 ","$906,725 ","$811,917 ","$768,833 ","$43,084 ","$35,311 ",94808,Wisconsin
Wyoming,"$166,963 ","$159,122 ","$155,728 ","$3,394 ","$7,841 ","$27,714 ","$27,714 ","$27,047 ",$667 , $-   ,"$49,698 ","$42,175 ","$40,622 ","$1,553 ","$7,523 ","$89,551 ","$89,233 ","$88,059 ","$1,174 ",$580 ,318,Wyoming
