State,Total (Thousands of dollars),Total justice system Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Police protection Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Judicial and Legal Direct expenditure,Direct current,Capital outlay,Intergovern mental expenditure,Total,Total Corrections Direct expenditure,Direct current,Total Capital outlay,Construct. Only,Intergovern mental expenditure,State
Mississippi,"$405,874.00 ","$392,100.00 ","$382,731.00 ","$9,369.00 ","$13,774.00 ","$71,659.00 ","$69,552.00 ","$66,575.00 ","$2,977.00 ","$2,107.00 ","$62,588.00 ","$62,588.00 ","$61,771.00 ",$817.00 ,$0.00 ,"$271,627.00 ","$259,960.00 ","$254,385.00 ","$5,575.00 ","$1,676.00 ","$11,667.00 ",Mississippi
Missouri,"$978,794.00 ","$930,309.00 ","$817,399.00 ","$112,910.00 ","$48,485.00 ","$177,903.00 ","$142,457.00 ","$125,868.00 ","$16,589.00 ","$35,446.00 ","$196,177.00 ","$196,177.00 ","$186,032.00 ","$10,145.00 ",$0.00 ,"$604,714.00 ","$591,675.00 ","$505,499.00 ","$86,176.00 ","$82,295.00 ","$13,039.00 ",Missouri
Montana,"$183,537.00 ","$163,105.00 ","$148,723.00 ","$14,382.00 ","$20,432.00 ","$40,971.00 ","$26,074.00 ","$24,429.00 ","$1,645.00 ","$14,897.00 ","$35,611.00 ","$30,076.00 ","$25,392.00 ","$4,684.00 ","$5,535.00 ","$106,955.00 ","$106,955.00 ","$98,902.00 ","$8,053.00 ","$7,515.00 ",$0.00 ,Montana
Nebraska,"$287,416.00 ","$272,699.00 ","$234,847.00 ","$37,852.00 ","$14,717.00 ","$67,378.00 ","$53,121.00 ","$44,180.00 ","$8,941.00 ","$14,257.00 ","$43,902.00 ","$43,902.00 ","$43,484.00 ",$418.00 ,$0.00 ,"$176,136.00 ","$175,676.00 ","$147,183.00 ","$28,493.00 ","$26,460.00 ",$460.00 ,Nebraska
Nevada,"$346,284.00 ","$343,980.00 ","$314,247.00 ","$29,733.00 ","$2,304.00 ","$62,011.00 ","$61,935.00 ","$55,071.00 ","$6,864.00 ",$76.00 ,"$48,705.00 ","$47,405.00 ","$47,163.00 ",$242.00 ,"$1,300.00 ","$235,568.00 ","$234,640.00 ","$212,013.00 ","$22,627.00 ","$19,989.00 ",$928.00 ,Nevada
New Hampshire,"$207,970.00 ","$200,413.00 ","$187,805.00 ","$12,608.00 ","$7,557.00 ","$41,482.00 ","$40,407.00 ","$32,755.00 ","$7,652.00 ","$1,075.00 ","$82,520.00 ","$76,942.00 ","$75,951.00 ",$991.00 ,"$5,578.00 ","$83,968.00 ","$83,064.00 ","$79,099.00 ","$3,965.00 ","$1,734.00 ",$904.00 ,New Hampshire
New Jersey,"$2,209,268.00 ","$2,113,009.00 ","$2,046,354.00 ","$66,655.00 ","$96,259.00 ","$404,771.00 ","$399,227.00 ","$381,280.00 ","$17,947.00 ","$5,544.00 ","$597,729.00 ","$585,729.00 ","$575,137.00 ","$10,592.00 ","$12,000.00 ","$1,206,768.00 ","$1,128,053.00 ","$1,089,937.00 ","$38,116.00 ","$31,070.00 ","$78,715.00 ",New Jersey
New Mexico,"$465,807.00 ","$465,807.00 ","$455,357.00 ","$10,450.00 ",$0.00 ,"$86,949.00 ","$86,949.00 ","$81,838.00 ","$5,111.00 ",$0.00 ,"$155,835.00 ","$155,835.00 ","$152,494.00 ","$3,341.00 ",$0.00 ,"$223,023.00 ","$223,023.00 ","$221,025.00 ","$1,998.00 ","$1,606.00 ",$0.00 ,New Mexico
New York,"$4,703,938.00 ","$4,456,430.00 ","$4,076,882.00 ","$379,548.00 ","$247,508.00 ","$496,925.00 ","$435,777.00 ","$424,111.00 ","$11,666.00 ","$61,148.00 ","$1,640,102.00 ","$1,597,053.00 ","$1,501,704.00 ","$95,349.00 ","$43,049.00 ","$2,566,911.00 ","$2,423,600.00 ","$2,151,067.00 ","$272,533.00 ","$245,728.00 ","$143,311.00 ",New York
North Carolina,"$1,778,859.00 ","$1,733,155.00 ","$1,670,859.00 ","$62,296.00 ","$45,704.00 ","$338,731.00 ","$334,387.00 ","$310,387.00 ","$24,000.00 ","$4,344.00 ","$502,556.00 ","$464,224.00 ","$451,268.00 ","$12,956.00 ","$38,332.00 ","$937,572.00 ","$934,544.00 ","$909,204.00 ","$25,340.00 ","$18,028.00 ","$3,028.00 ",North Carolina
North Dakota,"$81,070.00 ","$77,298.00 ","$71,011.00 ","$6,287.00 ","$3,772.00 ","$9,815.00 ","$9,707.00 ","$8,897.00 ",$810.00 ,$108.00 ,"$33,650.00 ","$32,128.00 ","$30,878.00 ","$1,250.00 ","$1,522.00 ","$37,605.00 ","$35,463.00 ","$31,236.00 ","$4,227.00 ","$3,701.00 ","$2,142.00 ",North Dakota
Ohio,"$2,100,561.00 ","$1,879,787.00 ","$1,722,762.00 ","$157,025.00 ","$220,774.00 ","$239,383.00 ","$216,502.00 ","$187,404.00 ","$29,098.00 ","$22,881.00 ","$279,829.00 ","$227,162.00 ","$214,959.00 ","$12,203.00 ","$52,667.00 ","$1,581,349.00 ","$1,436,123.00 ","$1,320,399.00 ","$115,724.00 ","$91,208.00 ","$145,226.00 ",Ohio
Oklahoma,"$732,086.00 ","$708,126.00 ","$683,121.00 ","$25,005.00 ","$23,960.00 ","$81,281.00 ","$81,281.00 ","$72,537.00 ","$8,744.00 ",$0.00 ,"$164,550.00 ","$152,662.00 ","$150,097.00 ","$2,565.00 ","$11,888.00 ","$486,255.00 ","$474,183.00 ","$460,487.00 ","$13,696.00 ","$6,902.00 ","$12,072.00 ",Oklahoma
Oregon,"$1,034,128.00 ","$885,172.00 ","$828,588.00 ","$56,584.00 ","$148,956.00 ","$184,537.00 ","$143,948.00 ","$139,705.00 ","$4,243.00 ","$40,589.00 ","$273,755.00 ","$270,445.00 ","$269,045.00 ","$1,400.00 ","$3,310.00 ","$575,836.00 ","$470,779.00 ","$419,838.00 ","$50,941.00 ","$47,132.00 ","$105,057.00 ",Oregon
