Unnamed: 0,Unnamed: 2,1981,Unnamed: 6,1982,Unnamed: 10,1983,Unnamed: 14,1984,Unnamed: 18,Unnamed: 19,1985,Unnamed: 22,1986,Unnamed: 26,1987,Unnamed: 30,1988,Unnamed: 34,1989,Unnamed: 38,Unnamed: 40,1990,Unnamed: 44,1991,Unnamed: 48,1992,Unnamed: 52,1993,Unnamed: 56,1994,Unnamed: 60,Unnamed: 62,1995,Unnamed: 65,1996,Unnamed: 69,1997,Unnamed: 73,1998,Unnamed: 77,Unnamed: 79,1999,Unnamed: 83,2000,Unnamed: 87,2001,Unnamed: 91,2002,Unnamed: 95,Unnamed: 97,2003,Unnamed: 100,2004,Unnamed: 104,2005,Unnamed: 108,2006,Unnamed: 112,2007,Unnamed: 116,Unnamed: 118,2008,Unnamed: 121,2009,Unnamed: 125,Unnamed: 127,2010,Unnamed: 131,2011,Unnamed: 135,Unnamed: 137,2012,Unnamed: 140,2013,Unnamed: 144,2014,Unnamed: 148,2015,Unnamed: 152,Unnamed: 154,2016,Unnamed: 156,2017,Unnamed: 158,2018
,1980,President's,1981,President's,1982,President's,1983,President's,1984,,President's,1985,President's,1986,President's,1987,President's,1988,President's,1989 ,,President's,1990,President's,1991,President's,1992,President's,1993,President's,1994,,President's,1995,President's,1996,President's,1997,President's,1998,,President's,1999,President's,2000,President's,2001,President's,2002,,President's,2003,President's,2004,President's,2005,President's,2006,President's,2007,,President's,2008,President's,2009,2009,President's ,2010,President's ,2011,,President's ,2012,President's ,2013,President's ,2014,President's ,2015,,President's ,2016,President's ,2017,President's 
(in thousands of dollars),Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Recovery Act,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,Budget,Appropriation,(in thousands of dollars),Budget,Appropriation,Budget,Appropriation,Budget
Education Department Budget by Major Program,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,,Education Department Budget by Major Program,,,,,,,,,Education Department Budget by Major Program,,,,,
Elementary and Secondary:,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,,,,,,,Elementary and Secondary:,,,,,,,,,,Elementary and Secondary:,,,,,,,,,Elementary and Secondary:,,,,,
  Career and technical education,784041,588030,685599,552824,659472,500000,732347,502500,742731,  Career and technical education,742161,842148,742148,813113,408122,881967,0,888243,888243,918404,  Career and technical education,949387,936723,936823,1008488,1008500,1152848,1148148,1173727,1136061,1180477,  Career and technical education,1128872,1107847,1178088,1084896,1117081,1136195,1169047,1144047,  Career and technical education,1150147,1150147,1159150,1188150,1179150,1237500,1218000,1314500,  Career and technical education,1300000,1325826,1000000,1327846,1012000,1326107,0,1296306,0,1296306,  Career and technical education,610000,1271694,0,1271694,0,1271694,1271694,1271860,1131503,  Career and technical education,1007860,1130859,1130859,1071866,1140859,1125019,1125019,1125019,  Career and technical education,1327019,1125019,1202019,1119647,976906
  Other,1217022,880493,978612,809335,879401,658101,919060,719992,875701,  Other,1103383,1113598,955550,1022708,961588,1215747,1068687,1203559,1281666,1338070,  Other,1736565,1414790,2008029,1621634,2300100,1854527,2649571,1662733,2410548,1883637,  Other,2749533,2071769,2860791,1979044,2299495,2265548,7563023,2686323,  Other,3911748,4429695,4442407,4800010,6670549,6378411,2138734,3494356,  Other,2271867,3506449,2239467,3360596,2380116,3149594,2403231,5745448,2234683,2621193,  Other,2293148,2904006.3,2163962,2889870,56710000,4856363,3011327,9465126,3045963,  Other,8171378,2304954,1827229,2129997,2114357,2508226,10070586,2416605,  Other,6224220,2444438,7022902,2057051,1854513
"  Total, Elementary and Secondary",6944302,5513053,6374281,5008910,5992172,4162558,6428673,5715810,6844036,"  Total, Elementary and Secondary",6951997,7558855,7103589,7301173,6850665,8574847,7182003,9099723,9363582,9681835,"  Total, Elementary and Secondary",10216014,10776615,11617434,12355863,13111231,13640348,14330762,13573032,14675152,14115179,"  Total, Elementary and Secondary",15843271,14588290,15849790,14404928,15854689,16471879,22617269,18164490,"  Total, Elementary and Secondary",20165033,20951877,21693965,22600399,25722357,27316893,28681510,32078434,"  Total, Elementary and Secondary",33006176,35113253,34204076,36942478,38090184,37530257,37632308,39762172,35926140,36830689,"  Total, Elementary and Secondary",36213577,37933513.3,36630595,38830088,79860000,39636950,38921047,41895208,37906168,"  Total, Elementary and Secondary",40672621,37361393,33759901,35359335,34571745,37214977,44311250,37115946,"  Total, Elementary and Secondary",42726561,38165279,43115523,37858319,34422802
             Discretionary,6937141,5505892,6367120,5001749,5985011,4162558,6421512,5708649,6836875,             Discretionary,6944836,7551707,7096441,7294332,6843517,8567699,7182003,9092575,9356434,9674687,             Discretionary,10208866,10769567,11610286,12348715,13104083,13633200,14323614,13565884,14668004,14108031,             Discretionary,15836123,14581142,15849790,14397780,15854689,16464731,17617269,18164490,             Discretionary,20165033,20951877,21693965,22600399,25722357,27316893,28681510,32078434,             Discretionary,33006176,35113253,34204076,36942478,38090184,37530257,37632308,39762172,35926140,36830689,             Discretionary,36213577,37933513.3,36630595,38830088,79860000,39636950,38921047,41896749,37905168,             Discretionary,40632621,37361393,33759901,35359335,34571745,37214977,38011268,37115946,             Discretionary,40426579,38165279,38885541,37858319,34422802
             Mandatory,7161,7161,7161,7161,7161,0,7161,7161,7161,             Mandatory,7161,7148,7148,6841,7148,7148,0,7148,7148,7148,             Mandatory,7148,7048,7148,7148,7148,7148,7148,7148,7148,7148,             Mandatory,7148,7148,0,7148,0,7148,5000000,0,             Mandatory,0,0,0,0,0,0,0,0,             Mandatory,0,0,0,0,0,0,0,0,0,0,             Mandatory,0,0,0,0,0,0,0,-1541,-1000,             Mandatory,40000,0,0,0,0,0,6299982,0,             Mandatory,2299982,0,4229982,0,0
Postsecondary:,,,,,,,,,,Postsecondary:,,,,,,,,,,,Postsecondary:,,,,,,,,,,,Postsecondary:,,,,,,,,,Postsecondary:,,,,,,,,,Postsecondary:,,,,,,,,,,,Postsecondary:,,,,,,,,,,Postsecondary:,,,,,,,,,Postsecondary:,,,,,
  Federal Pell Grants,2157328,2820000,2604000,2187680,2419040,1400000,2419040,2663800,2800000,  Federal Pell Grants,2800000,3862000,2691000,3579716,3250000,4187000,2710000,4260430,5011000,4483915,  Federal Pell Grants,5262000,4804478,5277000,5375502,5778286,5502855,6640802,6461970,8330461,6636731,  Federal Pell Grants,6514185,6146845,6601503,4913560,5919000,5919000,7635000,7344934,  Federal Pell Grants,7594000,7704000,7463000,7639717,8356000,8756000,9756000,11314000,  Federal Pell Grants,10863000,11364646,12715000,12006738,12863000,12364997,17952821,17345230,12738770,13660711,  Federal Pell Grants,15439000,16256000,18941059,19378000,17114000,28654059,22794816,34878000,41674180,  Federal Pell Grants,41156059,41401184,36118000,35697352,29868000,28881352,29175352,27628285,  Federal Pell Grants,28935748,28279793,30104352,30426028,29487626
  Federal Supplemental Educational Opportunity Grants,370000,370000,370000,278400,355400,0,355400,0,375000,  Federal Supplemental Educational Opportunity Grants,0,412500,0,394762,0,412500,0,408415,416583,437972,  Federal Supplemental Educational Opportunity Grants,452863,458650,458650,520148,346945,577000,358000,583407,499892,583407,  Federal Supplemental Educational Opportunity Grants,583407,583407,583407,583407,583407,583407,583407,614000,  Federal Supplemental Educational Opportunity Grants,619000,619000,631000,631000,691000,691000,691000,725000,  Federal Supplemental Educational Opportunity Grants,725000,760028,725000,770455,770455,778720,778720,770933,770933,770933,  Federal Supplemental Educational Opportunity Grants,0,757465,0,757465,0,757465,757465,757465,735990,  Federal Supplemental Educational Opportunity Grants,757465,734599,734599,696175,734599,733130,733130,733130,  Federal Supplemental Educational Opportunity Grants,733130,733130,733130,733130,0
  Federal Work-Study,550000,550000,550000,484000,528000,397500,590000,850000,555000,  Federal Work-Study,850000,592500,850000,567023,400000,592500,0,588249,600014,610097,  Federal Work-Study,610097,601765,601765,594681,396615,615000,454000,616508,526941,616508,  Federal Work-Study,716508,616508,616508,616508,679000,830000,857000,830000,  Federal Work-Study,900000,870000,934000,934000,1011000,1011000,1011000,1011000,  Federal Work-Study,1011000,1004428,1011000,998502,998502,990257,990257,980354,980354,980354,  Federal Work-Study,980492,980492,980492,980492,200000,980492,980492,980492,978531,  Federal Work-Study,980492,976682,1126682,925595,1126682,974728,974728,989728,  Federal Work-Study,989728,989728,989728,989728,500000
  Federal Perkins Loans,300800,200800,200800,193360,193360,2500,193360,4000,180860,  Federal Perkins Loans,4000,217482,28000,208626,25000,210000,26000,210628,22000,205507,  Federal Perkins Loans,22000,148309,0,156142,15000,156000,15000,180660,159037,173000,  Federal Perkins Loans,18000,176000,178000,113297,178000,178000,188000,165000,  Federal Perkins Loans,130000,130000,130000,130000,160000,160000,160000,167500,  Federal Perkins Loans,167500,166411,67500,165429,66665,66132,0,65471,0,65471,  Federal Perkins Loans,0,64327,0,67164,0,0,0,0,0,  Federal Perkins Loans,0,0,0,0,0,0,0,0,  Federal Perkins Loans,0,0,0,0,0
  Federal Direct Student Loan Program,0,0,0,0,0,0,0,0,0,  Federal Direct Student Loan Program,0,0,0,0,0,0,0,0,0,0,  Federal Direct Student Loan Program,0,0,0,0,0,0,0,0,55726,55726,  Federal Direct Student Loan Program,821656,821656,243720,243720,272047,272047,390244,390244,  Federal Direct Student Loan Program,-720178,-720178,-3510936,-3510936,-557786,-557786,-721929,-721929,  Federal Direct Student Loan Program,4224527,4224527,2457222,2457222,636994,636994,-669425,6934099,597778,5176323,  Federal Direct Student Loan Program,509249,5532290,328670,1385617,0,0,3481859,0,2781709,  Federal Direct Student Loan Program,0,0,0,3273880,-251958,16254117,7243186,23660742,  Federal Direct Student Loan Program,0,9878116,0,37028295,0
