state,state_abbr,latitude,longitude,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mississippi,MS,32.7673,-89.6812,810714107,914917630,1030626853,1103081748,1154835325,1120054323,1235401453.9949296,1302401255.492445,1614185247.0973263,1838020863.6624227,1696324100.466321,1601233891.6698728,1654276502.5408149,1560533444.2682786,1526910147.21,1535534822.0
Missouri,MO,38.4623,-92.302,1593065077,1825224666,2061996961,2258962812,2356116918,2455501942,2510828590.359565,2659692755.0352917,3263793460.3904524,3968124334.432769,3814949688.5424733,3650429996.3746753,3654208979.9084826,3573389123.2930155,3294846787.77258,3336357595.7705126
Montana,MT,46.9048,-110.3261,298360532,337784625,369708627,376050552,375974288,373357573,377637340.90338063,390295347.34859556,461530280.921003,555874103.6614978,550442264.6610246,526241070.7174267,500145703.60545117,473923372.282973,462528447.68,475210889.53
Nebraska,NE,41.1289,-98.2883,498722144,561372404,637057108,703859098,703224866,708693051,750456923.236449,811008585.7071283,980032361.342829,1096751910.678939,1123544237.1498504,1105802556.1976197,1052268652.5820205,1039436981.8622141,1003334932.11,1019453222.39
Nevada,NV,38.4199,-117.1219,259985925,315850518,363882348,400225384,447480692,452284897,548856690.6693194,604407231.6094191,723369567.7891027,892655776.8005075,812512832.8528281,834065970.5710326,817172094.2904028,902732832.3670833,817331434.8199999,831275492.44
New Hampshire,NH,43.4108,-71.5653,326084388,379199766,408411200,423650638,432014135,438087063,479709023.6297827,505989489.0445565,609220584.1263385,735167198.6598392,737241054.8730211,797839221.0406442,924434873.4711994,1210270110.2458663,1061917977.44,1079865401.21
New Jersey,NJ,40.314,-74.5089,1568266890,1788556522,1906148101,2148413429,2223697671,2122576555,2302794768.1811304,2569965494.436418,3091574879.0669994,3493151504.8139815,3302515883.3674784,3410837408.9159756,3321638019.062497,3356473984.229063,3221345476.0406265,3270661158.8183966
New Mexico,NM,34.8375,-106.2371,530066506,609110771,684817087,735023519,747461489,732575554,737216000.3221716,784943743.4451177,941453980.4234154,1120863622.4072208,1045447262.8155277,1049024111.595638,1051517078.4193318,964642121.3563994,870397777.941682,889208003.451682
New York,NY,42.1497,-74.9384,6011667167,6856280172,7590280856,8106090202,8153308555,8196631641,8514733209.860519,9170530970.21609,11195739163.54234,12795002410.029142,11988354948.73882,11550565473.686506,10311931101.453983,10508839360.034155,11060800391.702934,11243013054.743942
North Carolina,NC,35.6411,-79.8431,1641764159,1942521331,2219887909,2315149754,2468879245,2535976395,2712595649.9143333,2987459791.3119984,3602896422.434803,4424904920.598891,4322845061.110249,4427093117.393629,4255606956.9856806,4317675175.312792,4234028616.9156327,4293488602.385245
North Dakota,ND,47.5362,-99.793,258845309,293462900,318814767,323609847,340069374,350723567,338478195.27664554,347491309.7391321,416121395.43773603,458969832.6392921,436316716.6853266,411803268.25785017,421661584.1793661,414318107.4766298,371500995.605,383307032.575
Ohio,OH,40.3736,-82.7755,2954518787,3346374854,3829932878,3919276071,4034554557,4122599532,4439000194.211112,4977033576.553141,6119723156.538994,7605066446.904993,7040748173.114639,6821621422.366528,6421237915.678899,6152376231.396399,5656542206.913425,5743154881.500404
